longitude, latitude,name
-112.03481,33.49518,Helton Brewing Co
-112.06483,33.45733,Mother Bunch Brewing
-112.06647,33.56806,North Mountain Brewing
-111.9759,33.49502,O.H.S.O. Eatery & nanoBrewery
-112.11326,33.45249,Old World Brewery
-111.97729,33.6775,Rock Bottom Restaurant & Brewery
-111.97604,33.31793,Rock Bottom Restaurant & Brewery
-112.06866,33.50954,SunUp Brewery
-112.01698,33.44821,The Phoenix Ale Brewery
-111.97652,33.31724,Uncle Bear's Brewhouse Grill
-112.02988,33.47132,Wen House Brewing Co
-111.4531,34.38286,THAT Brewery & Pub
-112.26699,33.55158,BJ's Restaurant & Brewhouse
-112.25895,33.56313,Freak'N Brewing
-112.49455,34.56577,Black Hole Beer Co
-112.47046,34.53924,Coppertop Alehouse
-112.4687,34.54275,Granite Mountain Brewing
-112.46973,34.54198,Prescott Brewing
-111.63953,33.21363,Owl's Orchard Brewery
-111.92451,33.49728,Bad Water Brewing
-111.92309,33.62654,Birreria Italia
-111.92366,33.58179,Fate Brewing
-111.92697,33.46262,Fate Brewing #2
-111.89098,33.62861,Four Peaks Brewing
-111.92635,33.48978,Goldwater Brewing Co
-111.89167,33.64,Oggi's Pizza and Brewing
-111.92605,33.46566,Papago Brewing
-111.85495,33.72671,Pinnacle Peak Patio Steakhouse & Microbrewery
-111.89274,33.58221,Scottsdale Beer Co
-111.85495,33.72671,Sonoran Brewing Company
-111.92579,33.49911,Two Brothers Artisan Brewery
-111.89164,33.62545,Arriba Mexican Grill
-111.76181,34.86112,Oak Creek Brewery and Grill
-111.79608,34.86618,Oak Creek Brewing
-110.15693,34.28942,Black Horse Brewery
-110.25427,31.55001,Mad Cactus Brewery
-112.66687,34.60746,Barnstar Brewing
-109.28771,34.13492,Wild Weede Brewery
-112.3578,33.63823,State Forty Eight Brewery
-111.94083,33.42675,Blasted Barley Beer Co
-111.94297,33.42179,Cartel Brewery
-111.94041,33.42546,Mad Hatter Brew Pub
-111.91593,33.41944,Four Peaks Brewing
-111.94413,33.4025,Four Peaks Brewing - Production Brewery
-111.93998,33.42862,Gordon Biersch Brewing
-111.96486,33.35677,Huss Brewing
-111.94169,33.42295,Pedal Haus Brewery
-111.9511,33.42966,Shop Beer Co
-111.90418,33.42303,Sleepy Dog Saloon & Brewery
-110.07302,31.71399,Helldorado Brewing
-110.94665,32.2358,1702 Beer & Pizza - The Address Brewing
-110.99387,32.24646,1912 Brewing
-110.95924,32.21469,Barrio Brewing
-110.97811,32.28412,BJ's Restaurant & Brewhouse
-110.82286,32.20149,Black Rock Brewers
-110.97046,32.22594,Borderlands Brewing
-111.05582,32.33068,Button Brew House
